2017-10-11,2016-05-05,2016-05-09,2016-05-11,2016-05-13,2016-05-16,2016-05-17,2016-05-18,2016-05-19,2016-05-20,2016-05-23,2016-05-25,2016-05-27,2016-05-28,2016-06-01,2016-06-03,2016-06-05,2016-06-18,2016-06-20,2016-06-30,2016-07-06,2016-07-08,2016-07-12,2016-07-13,2016-07-14,2016-07-15,2016-07-18,2016-07-20,2016-07-21,2016-08-15,2016-08-17,2016-08-23,2016-08-24,2016-08-26,2016-08-29,2016-09-10,2016-09-12,2016-09-14,2016-09-19,2016-09-22,2016-09-26,2016-12-01,2016-12-19,2017-01-13,2017-01-18,2017-01-23,2017-01-24,2017-01-30,2017-01-31,2017-02-02,2017-02-03,2017-02-07,2017-02-10,2017-02-20,2017-02-23,2017-02-24,2017-02-28,2017-03-01,2017-03-20,2017-03-21,2017-03-23,2017-03-24,2017-03-27,2017-04-06,2017-04-19,2017-04-21,2017-04-24,2017-05-01,2017-05-04,2017-06-13,2017-06-15,2017-06-18,2017-07-06,2017-07-31,2017-08-01,2017-08-03,2017-08-07,2017-08-09,2017-08-11,2017-08-15,2017-08-22,2017-08-24,2017-08-28,2017-08-31,2017-09-01,2017-09-05,2017-09-06,2017-09-07,2017-09-11,2017-09-18,2017-09-19,2017-09-25,2017-09-26,2017-09-28,2017-09-29
nutrition,81.6606,89.6897,88.5597,88.213,87.8665,83.0086,84.27,85.1716,85.2019,78.4684,68.8651,71.2208,73.3151,75.3211,81.4351,78.1181,73.1139,73.109,80.5617,80.3066,79.7345,78.1275,77.5652,78.5235,83.9247,83.8958,83.8743,83.9678,81.5024,81.1156,88.7676,88.5883,88.5624,76.4972,77.4587,78.022,78.3922,78.6545,78.8483,78.9991,79.1188,79.2175,79.2965,86.9121,86.4148,85.4481,84.7666,88.7113,88.7113,88.574,88.5826,88.4678,88.4812,88.4903,88.4968,77.7221,83.8903,77.8223,82.5613,82.3814,82.3334,85.005,84.6342,85.8475,86.4503,85.9876,85.7278,85.527,85.2795,86.6492,86.1513,88.4475,88.397,88.3978,88.4011,88.3452,88.3473,88.2901,88.2901,88.2901,88.2901,88.2901,88.2901,88.2901,88.2901,88.2901,88.2901,88.2901,88.2901,63.085,63.085,82.6386,81.7015,81.1203
stress,71.1053,79.0617,82.8441,81.7726,80.9814,77.4829,78.0138,84.4022,83.8834,77.5675,75.1548,75.8251,77.0025,78.1782,63.7437,63.9336,78.1291,76.6566,82.9563,82.5499,81.8924,79.9947,79.3558,80.4087,82.2143,82.0019,81.816,81.0706,90.4103,90.4176,90.2391,89.9624,89.9218,78.4371,79.3936,79.9511,80.3164,80.5746,80.7651,80.913,81.0305,81.1272,81.2045,88.3036,87.8548,86.9378,86.3039,89.9185,89.9185,74.8631,76.164,72.808,73.5646,74.128,74.5643,85.2435,78.7812,74.8683,64.1217,65.7559,66.6791,78.9468,77.5067,75.0465,73.8662,74.2434,74.3259,74.3722,74.5443,71.91,72.1576,72.1719,78.5728,78.6554,79.0504,71.2869,71.2836,71.3731,71.3731,71.3731,71.3731,71.3731,71.3731,71.3731,71.3731,71.3731,71.3731,71.3731,71.3731,71.998,71.998,86.095,85.4397,85.0331
total,87.8298,93.6827,92.9158,92.7078,92.5893,85.8986,86.8152,91.9681,91.6619,85.9292,80.7495,82.4844,83.5127,83.0134,72.1023,70.2566,81.8013,80.5296,83.7603,83.7779,83.4457,80.5917,80.0194,81.07,84.0336,83.9017,83.7857,83.2686,90.3321,90.4034,88.5551,79.3027,77.5899,61.2455,62.4177,63.1132,63.574,63.9022,64.1457,64.3356,64.4869,64.6118,64.7119,85.3146,84.0242,84.0562,82.9128,89.19,89.19,69.277,70.9999,76.3837,76.3867,76.4932,76.6227,68.9176,74.5698,65.758,65.5632,65.9405,66.1892,75.7141,74.3751,82.2676,84.7005,83.8894,83.1395,82.5707,82.0263,83.2683,83.2575,86.3184,89.5289,89.5152,89.448,90.5739,90.5763,90.5124,90.5124,90.5124,90.5124,90.5124,90.5124,90.5124,90.5124,90.5124,90.5124,90.5124,90.5124,85.7195,85.7195,89.6452,89.4306,89.3
sleepQuality,93.4001,92.933,89.4762,90.1188,90.5461,89.3019,89.5754,82.4266,83.7042,79.6949,78.2444,79.2723,79.6063,78.0394,74.6204,72.628,73.0896,72.973,73.5085,73.3849,73.2852,73.4984,73.448,73.6755,73.891,73.8844,73.8789,73.8623,74.1104,74.1006,74.3357,32.9717,28.0744,45.7726,44.5015,43.7473,43.2475,42.8916,42.6276,42.4216,42.2576,42.1222,42.0136,73.599,70.745,76.7703,75.8525,81.3465,81.3465,81.3818,81.3796,55.3841,58.1614,59.8854,61.0676,48.951,67.512,64.9657,64.8137,64.5268,64.3141,64.8989,64.792,72.9959,69.6299,70.9565,70.7377,70.546,70.2071,73.224,71.2781,72.2261,73.7327,73.7283,73.5739,76.6071,76.9594,66.1624,66.1624,66.1624,66.1624,66.1624,66.1624,66.1624,66.1624,66.1624,66.1624,66.1624,66.1624,95.1872,95.1872,91.1647,91.4867,91.6747
soreness,72.1753,70.8738,74.2607,74.1305,74.2839,74.6634,73.7425,82.3222,81.1592,80.9557,80.3834,80.33,80.465,79.353,73.138,75.3057,77.6404,77.7485,84.1743,83.5884,83.1902,81.8246,81.5024,81.5284,81.7274,81.5555,81.4085,80.9737,86.6734,86.4612,90.8251,90.5211,90.4763,73.0475,74.5641,75.4463,76.0235,76.431,76.7312,76.9642,77.1492,77.3013,77.4229,88.1746,87.5282,86.1805,85.2395,90.4439,90.4439,67.6937,69.7222,75.9122,75.9272,76.0588,76.2151,77.8596,70.4393,65.4611,71.1505,70.778,70.5988,80.8071,79.2616,79.4427,79.1111,78.9097,78.7228,78.563,78.4289,78.1163,79.9931,82.7273,83.4714,83.5214,83.7605,79.1386,79.139,79.1279,79.1279,79.1279,79.1279,79.1279,79.1279,79.1279,79.1279,79.1279,79.1279,79.1279,79.1279,79.15,79.15,78.3252,78.378,78.4095
overall,90.3148,93.5721,91.9009,91.8193,91.6307,86.4632,87.7067,88.9791,89.5292,82.2561,79.0094,80.7117,80.277,79.4367,73.5642,71.0832,86.8404,85.0255,77.9618,79.1582,79.3727,78.3164,78.1301,79.783,82.2308,82.2909,82.3352,82.115,86.9086,87.4912,66.7947,67.4376,67.529,67.9452,67.9193,67.9037,67.8934,67.8859,67.8804,67.876,67.8726,67.8697,67.8674,85.3642,84.1272,85.6347,84.9561,88.883,88.883,73.4278,74.6973,84.5332,84.0581,83.8184,83.6857,75.3273,82.9713,85.0605,79.7007,80.1128,80.3025,75.9122,76.6812,83.1294,85.1177,84.2848,83.8927,83.6185,83.3372,84.5562,83.7369,82.2635,84.9249,84.8597,84.5413,89.3758,89.3781,89.3157,89.3157,89.3157,89.3157,89.3157,89.3157,89.3157,89.3157,89.3157,89.3157,89.3157,89.3157,88.7768,88.7768,76.3661,77.3585,77.9399
hydration,83.7211,90.4258,89.6106,88.9462,88.292,85.7265,86.3372,88.3288,88.253,84.4378,82.1935,83.113,83.9844,84.9162,79.9119,78.1086,75.6382,75.918,75.379,75.6903,75.9887,73.9507,73.9326,74.0121,74.0903,74.0879,74.0858,74.0796,74.1724,74.1687,74.259,50.1045,46.3692,48.1227,48.0126,47.9465,47.9025,47.8709,47.8475,47.8291,47.8144,47.8023,47.7925,71.2454,69.2793,71.8439,70.7923,77.1272,77.1272,77.1626,77.1603,87.5138,86.7631,86.2727,85.9242,80.8102,79.3674,78.7616,78.3322,78.6245,78.8365,78.1403,78.3625,77.9324,84.4643,83.0577,82.5005,82.1201,81.8101,82.0784,82.5409,83.2708,84.5475,84.4868,84.3053,86.9245,86.6431,92.6255,92.6255,92.6255,92.6255,92.6255,92.6255,92.6255,92.6255,92.6255,92.6255,92.6255,92.6255,74.8668,74.8668,76.1543,76.0758,76.0286
fatigue,68.5184,74.1887,76.0465,75.7851,75.8483,75.6241,74.8313,83.092,81.8134,81.4149,80.6893,80.6555,80.7599,80.8011,73.2445,74.5526,84.1414,83.3681,81.5215,81.6484,81.7592,80.2679,80.1723,80.2023,80.3018,80.2407,80.1843,79.7848,86.1868,86.4401,79.1763,90.3943,91.4561,91.2267,91.2413,91.25,91.2559,91.2601,91.2632,91.2656,91.2675,91.2691,91.2704,67.1749,70.4896,66.3834,68.3053,55.1074,55.1074,55.9805,55.9261,70.6376,69.3891,68.5877,68.0246,74.5806,75.9844,69.5217,73.556,73.356,73.2501,75.7363,75.2312,84.0099,86.3919,85.8126,85.2072,84.759,84.3825,84.5837,84.8397,87.7485,89.2206,89.1837,89.0023,91.8226,91.8271,91.7008,91.7008,91.7008,91.7008,91.7008,91.7008,91.7008,91.7008,91.7008,91.7008,91.7008,91.7008,77.6963,77.6963,88.2995,87.7966,87.4856
sleepQuantity,88.71,82.6926,81.4073,82.084,82.3732,85.2491,85.3476,80.5946,80.9416,84.8267,85.5349,85.5149,84.1757,82.602,78.1983,80.0122,70.8835,72.7442,80.5225,79.4424,79.1304,79.4759,79.5112,78.0688,75.5211,75.367,75.24,75.0956,75.8669,75.1931,87.8592,40.119,32.6168,74.5139,72.2687,70.8657,69.9068,69.2097,68.685,68.2713,67.9388,67.6625,67.4399,84.2865,82.8181,87.8588,87.8653,87.8231,87.8231,79.0904,79.7517,69.09,70.4583,71.3572,72.001,65.8598,72.0171,73.2346,74.5254,74.0855,73.7939,80.852,79.7045,78.5636,78.0159,78.7417,78.704,78.6547,78.5082,80.0644,80.37,80.806,81.5296,81.5765,81.8014,77.5296,77.5287,77.5516,77.5516,77.5516,77.5516,77.5516,77.5516,77.5516,77.5516,77.5516,77.5516,77.5516,77.5516,90.1827,90.1827,90.0286,90.0383,90.0442
